Num,Pod Color,Name,Short Description,Episode
20,Red,Slick,"A fast-talking, pink experiment with a resemblance to Jumba and Cannonball (520), but with a smaller face and two ebony-black eyes who wears a straw boater hat and bowtie, carries a cane, and acts as a salesperson who never turns down a customer. Designed to be able to sell anything to anyone. Lilo used him to get ahead in the chocolate bar selling contest/fundraiser, but Mertle took him. When Lilo took him back, Mertle took him back again. Lilo tried to take him back once more, but found out Mertle sold him to Reuben. Slick was rescued, but Lilo had to give up the contest by giving her last chocolate bar to Gantu as a swap for Slick. His one true place is at a fundraiser, following which he began working for charity, not profit. Slick was one of the experiments Lilo turned to for the capture of Ploot, but besides selling her an umbrella that she later used against Ploot, he didn't/couldn't help. He is voiced by Jeff Glen Bennett.","205, 217, Leroy & Stitch"
21,Green,Twang/Flute,"A yellow rabbit-like experiment with blue fluff in his ears. He is very manipulative and sly. Designed to absorb likeness and popularity to mutate through three forms. The first is described above, the second is similar to the first but has four arms, is larger, and is much more buff. The third is an ugly, snot-green figure with only two arms, and a huge purple nose. He can switch back to his first form after he's been the second. He is extemely intelligent and specializes in the flute.",Stitch!
22,,Hertz Donut,"A dark-green, seahorse-like experiment with lips shaped like a donut. Designed to shoot donuts out of his mouth that restrain movements.",Stitch!
23,,Cyclo,Designed to spin at high speeds making you feel dizzy.,Leroy & Stitch
24,Yellow,Hamlette,"A small yellow experiment. Designed to turn objects into ham. She was activated when Mrs. Hasagawa's cats were activated, as indicated by Gantu's experiment computer, but did not physically appear in the episode. She was referred to in Remmy when Pleakley said, ""Is that the one that turns everything into ham?""","215, 220, Leroy and Stitch"
25,White,Topper,"A small yellow star-shaped creature with a little antenna on his head. Designed to be a beacon to signal the alien attack fleet, but the official Disney website states his purpose is to keep people awake with his bright light. Topper is given to a little girl as a Christmas present, then placed atop the local Christmas tree and emits a light so bright that aliens from other galaxies can see him from Earth. His number is a reference to Christmas Day (December 25). He is voiced by Tress MacNeille.","114, 132, Leroy & Stitch"
26,,Pawn,"Designed to grab hot plates and other dangerous/fragile materials for Jumba, and make you obsessed with chess, but Jumba accidentally added shrimp DNA into the mix so the only way you could become obsesed is if you were playing near water.",Leroy & Stitch
27,,Plushy,Designed to turn you into a toy.,Leroy & Stitch
28,,Lori,Designed to make you jump up and down constantly.,Leroy & Stitch
29,Yellow,Checkers,"A yellow centipede-like experiment that sits curled up like a crown on people's heads. Designed to make his wearer a king or queen by hypnotizing those around them, with the exception of other experiments. The victims retain their normal personality while under its control, and the effect immediately wears off once Checkers is removed. Lilo first donned him, but her so-called good intentions got many people arrested by Mertle for being ""troublemakers"" when they accidentally disobeyed Lilo's rules. When Lilo decided to step down, Gantu took Checkers and was in power until Stitch gathered several experiments to help overthrow him.","207, Leroy & Stitch"
30,Purple,Vialet,"A small purple Gotchu (031)-like experiment with two pincers instead of four and a dragon-like tail. Seen in pod form in ""Drowsy"". Designed to turn everything a vulgar shade of purple.","137,Leroy & Stitch"
31,Red,Gotchu,"An orange lobster-like experiment. Designed to run around and pinches things with his four pincers. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
32,Green,Fibber,"A small orange experiment with small body, arms and legs, a large head with dark orange mark on the forehead, little antennae, a little mouth, a round nose, black eyes and four ears. Designed to detect lies. When a lie is told, he beeps loudly and the pattern on his forehead lights up. The bigger the lie, the louder he beeps, and the brighter the pattern lights up. Fibber was captured by Gantu, but rescued by Lilo and Stitch in ""Snafu."" He was also part of Pleakley's E.A.R.W.A.X. group in ""Spike."" Which was a blooper in the episode since he was captured by Gantu at the time. He is voiced by Jeff Bennett.","113, 201, 224, 226, Leroy & Stitch"
33,Blue,Hammerface,"A blue dinosaur-like experiment with short forearms and a thick tail and legs. Designed to drive in nails around Jumba's house with his hammer-shaped head/face, but at times he will pound living things. He was used by Gantu to defeat Stitch in ""Dupe"" and rescued by Lilo's rescue team in ""Snafu."" 033 was called ""Hammerhead"" by Pleakley in ""The Asteroid"". In Stitch! The Movie, his number is 124. Seen in pod form in Stitch! The Movie.","109, 126, 213, 215, 224, 226, Leroy & Stitch,Stitch! The Movie"
34,,Splort,Designed to ruin friendships.,Leroy & Stitch
35,,Philip,"Designed to be a bouncer for Jumba's lab but failed because he wouldn't let anyone in, not even Jumba.",Leroy & Stitch
36,Green,Poki,"A small yellow and brown opossum-like experiment with a spiked tail. Designed to poke holes in liquid containers. He was seen in ""Shoe,"" where he helped turn Jumba's ship into a hotel by putting up an umbrella over an outdoor table and holding a palette for Lilo to paint an arrow sign titled ""Jumba & Pleakley's Bed & Not Breakfast.""","203, 215, Leroy & Stitch"
37,,Snipper,Designed to give Jumba's luxurious hair a trim.,Leroy & Stitch
38,,Plats,Designed to plait Jumba's hair.,Leroy & Stitch
39,,Atlas,Designed to be a globe for over 400 different planets.,Leroy & Stitch
40,Yellow,Backhoe,"A gray mole-like experiment with large black claws. Designed to scrape up vegetation, and is also an efficient digger. He was first seen in ""Shoe,"" where he dug the pool for ""Jumba & Pleakley's Bed & Not Breakfast,"" and was part of the ""rebellion"" in ""Checkers.""","203, 207, 215, Leroy & Stitch"
41,,Kitsch,Designed to do Jumba's washing up.,Leroy & Stitch
42,,Itch,Designed to make you extremely itchy.,Leroy & Stitch
43,,Cubesteak,Designed to make food and meat square.,Leroy & Stitch
44,Green,Forehead,"A pink, four-headed mustached experiment with four arms and four red bowties on his necks that speaks English. Designed to sing barbershop music off-key, agonizing anyone who hears it. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
45,,Melvin,"Designed to give people ""Melvin's"" (a type of wedgie).",Leroy & Stitch
46,,Wedgie,Designed to give people wedgies.,Leroy & Stitch
47,Green,Lorider,"A blue platypus-like experiment with an accordion body. Designed to pull down people's pants, therefore causing public humiliation.",Stitch!
48,,Echo,"Designed to ""echo"" everything you say using his big mouth on his forehead.",Leroy & Stitch
49,Green,Picker,Seen in pod form in Stitch! The Movie. Designed to pick fruit from Jumba's neighbor's tree. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Stitch! The Movie
50,Yellow,Dunk,Seen in pod form in Stitch! The Movie. Designed to dunk people in any body of water. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Stitch! The Movie
51,Green,Hocker,"A green experiment with a huge blue nose and a yellow spot around his eyes and a yellow stripe on his ears and tail (In his episode the spots and stripes were originally red.). Designed to spit acidic saliva that can burn through wood in about three seconds. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
52,,Coco,A chocolate-colored pink-haired lizard/Stitch-like experiment. Designed to turn things into chocolate (from a Disney Adventures magazine). She was given to Lilo by Stitch for her birthday.,Disney Adventures Magazine
53,,Whine,Designed to make you whine and complain about everything.,Leroy & Stitch
54,Blue,Fudgy,"An experiment made of chocolate that looks like a blob. Designed to drown people in his sticky sweetness. When he was activated, he was called 119, and he was mistaken for experiment 611. The mistake with his number was due to Jumba's untidy database, although Jumba later corrected this mistake. Was rescued in ""Snafu.""","119, 226"
55,,Snarfhonk,"Designed to make a horrible honking noise and make you speak in a series of random noises like ""beep ping ping boing"".",Leroy & Stitch
56,,Nibbiolo,Designed to nibble on the corners of anything. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Leroy and Stitch
57,,Tenderizer,Designed to tenderize heat up Jumba's meat.,Leroy & Stitch
58,,Shortsheet,Designed to short-sheet beds.,Leroy & Stitch
59,,Tornette,Designed to tear paper in half.,Leroy & Stitch
60,,Plink,"Designed to make the color you see change from color to black and white, but failed because his effects made you see in pink.",Leroy & Stitch
61,Green,Anachronator,Seen in pod form in Stitch! The Movie. Designed to make Jumba's technology better by bringing technology from the future. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Stitch! The
62,White,Frenchfry,"A small gray and white mustached experiment with four arms with three fingers on each hand, black eyes, a round nose, a little mouth, short ears, a chef's hat, and a spatula for a tail. Designed to use his lightning speed, which allows him to instantly prepare food or whip up a mini-tornado in battle. He is also the only experiment in the series that speaks French. Designed to be Jumba's personal chef, but instead made unhealthy food that quickly made people fat and overweight, then ate the fattened victims. However, he stopped when he learned that healthy food could be just as delicious. His one true place is running a healthy French fry hut.","202, Leroy & Stitch"
63,,Pufferizer,Designed to make people puff up like a balloon.,Leroy & Stitch
64,,Nappifier,"Designed to make you take a nap, (temporary).",Leroy & Stitch
65,,Britfood,Designed to be a better version of Frenchfry (062) but she only serves seafood or shrimp other than junk food.,Leroy & Stitch
66,,Glam,Designed to make Jumba look super snazzy.,Leroy & Stitch
67,,Shady,Designed to make shades.,Leroy & Stitch
68,,Tom,Designed to improve Jumba's TV reception.,Leroy & Stitch
69,,H. T.,Designed to be a hot tub for Jumba.,Leroy & Stitch
70,White,Flopjack,"Seen in pod form in Stitch! The Movie. Designed to make flapjacks for Jumba, but does not work.",Stitch! The Movie
71,,Penny,Designed to drop pennies off high areas.,Leroy & Stitch
72,,Stickystuck,Designed to put glue on chairs and glue things together with sticky saliva.,Leroy & Stitch
73,,Cornerpiece,Designed to be a corner piece for a corner. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).,Leroy & Stitch
74,Red,Welco,A pink balloon-dog-experiment with a heart-shaped tail. She has humanoid eyes and big lips. Designed to spit temporary solid bubbles.,Stitch!
75,,WooWoo,Designed to make you over-confident.,Leroy & Stitch
76,Green,Bath Matt,Seen in pod form in Stitch! The Movie. Designed to be a bathmat.,Stitch! The Movie
77,White,Zawp,"A fat purple Nosy (199)-like experiment with black nails, a dark blue stripe around his torso between his chest and stomach, a dark blue circle on the top of his head, dark blue-striped ears, a larger belly and a slightly smaller, gold nose. Designed to irritate people with his constant snoring. His one true place is with Mrs. Hasagawa as one of her ""cats."" Pod says 277 instead of 077.","220, Leroy & Stitch"
78,Yellow,Snozzle,Seen in pod form in Stitch! The Movie. Pod says 78 instead of 078. Designed to sneeze fake money.,Stitch! The Movie
79,,Fogger,Designed to fog up windows.,Leroy & Stitch
80,,Dan,Designed to entertain Jumba by playing the violin.,Leroy & Stitch
81,Red,Backscratcher,Seen in pod form in Stitch! The Movie. Designed to scratch part of Jumba's back he can't reach.,Stitch! The Movie
82,White,Plunge,"Seen in pod form in Stitch! The Movie. Designed to unclog Jumba's toilet, after he had an... incident. Pod says 82 instead of 082.",Stitch! The Movie
83,,Grimple,Designed to be a bug catcher in order to make the natural order become chaos.,Leroy & Stitch
84,,Subwoof,Designed to woof if he sees a bus.,Leroy & Stitch
85,Red,Screw-up,Seen in pod form in Stitch! The Movie. Designed to be nothing Jumba screwed up for. All he does is lay down and do nothing. He is in some Disney Adventure comics (the ones where Jumba is fixing Stitch).,Stitch! The
86,White,Clink,"A big green mouthless crab-like experiment with four legs, two large claws and a window on its chest. Able to capture and confine any other experiment inside the holding tank in his stomach by splitting in half, surrounding whatever he wants to catch, and joining together again. When Clink splits in two, he works with himself, yet he seems to have a separate mind for each half. 20 years in an alternate future, Lilo, Stitch, and Skip encountered Clink in the possession of Hämsterviel, who ruled Earth and the rest of the universe.","206, Leroy and Stitch"
87,,Puddles,Designed to cry so much that she makes puddles.,Leroy & Stitch
88,,Decrisper,Designed to make Jumba's burnt food less crispy by putting it in his pouch in his belly.,Leroy & Stitch
89,White,Skip,"A purple hourglass-shaped experiment with small eyes. Designed to skip time by 10 minutes, because Jumba was too impatient to wait for his microwave to reheat his leftovers. However, there was an error in his program: he skips time by ten years. Fortunately, he has a reset button. Lilo used him to jump ahead 10 years and become a teenager, then 20 years later to become a full-fledged adult. However, since Lilo and Stitch were gone for 20 years, no one was there to catch experiments except Gantu. So 20 years later, Hämsterviel ruled Earth.","206, Leroy & Stitch"
90,,Fetchit,This experiment was activated when Mrs. Hasagawa's cats were. Designed to fetch the morning paper for Jumba.,220
91,,Nutsy,Designed to steal things and replace them with walnuts.,Leroy & Stitch
92,,Gutman,Designed to have super strength.,Leroy & Stitch
93,,Unkind,Designed to be unkind to everyone for no reason whatsoever.,Leroy & Stitch
94,White,Louis B.,Seen in pod form in Stitch! The Movie. Designed to make and play horror movies to scare away nosy neighbors. Pod says 94 instead of 094.,Stitch! The Movie
95,Yellow,Coaster,Seen in pod form in Stitch! The Movie. Designed to be a roller coaster without tracks.,Stitch! The
96,Red,Cable Dude,Seen in pod form in Stitch! The Movie. Designed to fix a TV's cable by plugging himself into the back of the TV.,Stitch! The Movie
97,Green,Dogalarm,"Seen in pod form in ""Drowsy"". Designed to be a living dog whistle.","137,Leroy & Stitch"
98,,Cooper,Designed to make people cooperate with each other.,Leroy & Stitch
99,Green,Spot,"A spotlight experiment that was supposed to be in ""Spike"" but was removed, and was supposed to appear later. Seen in pod form in Stitch! The Movie. Designed to shine a spotlight on people.","Originally 201 (but was removed), Stitch!"
100,Purple,Trickster,Seen in pod form in Stitch! The Movie. Designed to pull tricks on people.,Stitch! The
101,Red,Trike,Seen in pod form in Stitch! The Movie Designed to tickle people who ride him.,Stitch! The
102,Green,Stopgo,"A yellow experiment with a long, narrow neck like a traffic pole, and a traffic light-shaped head with a green and red light (most likely his eyes, oriented vertically) on each side of his head. Designed to cause traffic jams. Seen in pod form in Stitch! The Movie and 'Drowsy' and seen activated in Leroy & Stitch. When he first appeared, he was called 239 due to Jumba's untidy database, but this mistake was corrected. His one true place is as a traffic light.","137, Leroy & Stitch, Stitch! The Movie"
103,Purple,Stamen,"A tan-gray, upside-down ice cream-shaped, mouse-like experiment with an oval body, little arms and legs, big ears, a big mouth, no tail, black eyes, a round blue nose and rabbit-like ears. Designed to prevent pollination of flowers by attracting alien ""bees"" to himself. He was first seen being rescued in ""Snafu.""","226, Leroy & Stitch"
104,,Lapse,Designed to destroy enemy weapons and electronics such as computers and blasters with the horn on his nose.,Leroy & Stitch
105,,Fold,Designed to fold paper until its permanently unreadable.,Leroy & Stitch
106,,Spindle,Designed to steal and eat threads.,Leroy & Stitch
107,Yellow/Purple,Mutilate,"Seen in pod form in Stitch! The Movie. Designed to make people think the right thing is wrong and the wrong things is right. In one scene his pod was yellow, but in another it was purple.",Stitch! The Movie
108,,Nudge,Designed to nudge you.,Leroy & Stitch
109,Purple,Sounder,Seen in pod form in Stitch! The Movie. Designed to produced high frequency whistle sound from his ears to shatter any type of glass. ,Stitch! The
110,Red,Squeak,"A small red mouse-like experiment, vaguely resembling animator Friz Freleng's character Sniffles from the Warner Brothers Merrie Melodies series. Designed to annoy entire planets with his never-ending talking. He is voiced by Rob Paulsen.","201, Leroy & Stitch"
111,Blue,Mulch,"A red experiment that resembles a push-mower. Designed to tear up the ground beneath his feet. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy & Stitch"
112,Green,Toons,"A yellow platypus-like experiment with an orange mane and a rectangular vacuum-like mouth. Designed to transform into the subject of any drawing inserted into his mouth, as well as has the ability to make images on paper come to life in 3D.",Stitch!
113,Purple,Shoe,"A green and white sloth-like experiment with a wiry body and a round face with black eyes, a small dark purple round nose, a wide mouth and two long, curved horns. Able to control luck. When his horns are up, they cause good luck. When down, they cause bad luck. He can be switched from bad luck to good luck by flipping his horseshoe. His one true place is at a miniature golf course, where he makes people score holes-in-one.","203, Leroy & Stitch"
114,,Skyooz,Designed to destroy the ozone layer.,Leroy & Stitch
115,,Sellby,Designed to sell you things at high prices.,Leroy & Stitch
116,,Switch,Designed to put switches in the opposite directions (ex. If something is “Off” he’ll turn it “On”.) When he points his tails at two different people he has the power to switch the two.,Leroy & Stitch
117,,Tock,Designed to change the times on all clocks.,Leroy & Stitch
118,,Fink,Designed to betray you.,Leroy & Stitch
119,,Inverto,"He was misunderstood as Experiment 611. He was reported by Dr. Jacques Von Hämsterviel as a chocolate experiment who drowns people into his sweetness, which actually is Experiment 054 (Fudgy). Designed to make people and objects turn inside out. He is in some Disney Adventure comics (the ones were Jumba is fixing Stitch).","119,Leroy & Stitch"
120,Purple,Snafu,"A small dark green-teal octopus-like experiment with a roughly reptilian face with wide mouth, small white eyes with black pupils, a small round body, little arms and legs with small hands and feet, little tail, black markings on his back, and six tentacles on his large dome head; three on each end of his head. Designed to foil enemy plans by any possible means. He will ruin any plans to catch him. The only way to catch him is by accident. Named for the acronym SNAFU.","226,Leroy and Stitch"
121,,Sappy,Designed to make people more and more sappy.,Leroy & Stitch
122,Red,Dorkifier,"A pink calf-like experiment with two horns. Designed to zap a pink ray from his horns that changes anyone's appearance into something ridiculous. Also, the new dorky clothes cannot be taken off the victim, until his horns are turned like Shoe.",Stitch!
123,Red,Carmen,"A pink, blue-eyed, antennaless, Angel (624)-like experiment, wearing a headdress of fruits and holding a maraca in each of her four hands. Designed to make people dance until they drop, after her namesake Carmen Miranda.","Leroy & Stitch, Stitch!"
124,,Rhymer,Hammerface was mistakenly labeled 124 in Stitch! The Movie due to Jumba's untidy Database. Designed to make and sing rock music.,Leroy & Stitch
125,,Gibberish,Designed to reflect soundwaves and once reflected it will come back to you as gibberish.,Leroy & Stitch
126,Purple,Stank,A black skunk-like experiment with purple eyes. Designed to launch out spheres of repulsive odor from underneath her fur.,Stitch!
127,,Dembums,Designed to annoy you by playing his demon music.,Leroy & Stitch
128,Purple,Bugby,A small green mosquito-like experiment with four eyes. Designed to turn whole civilizations into harmless little insects. Anyone turned into an insect can understand all other insects and arachnids. The only way to reverse the effect is with a machine built by Jumba. 128 was later reprogrammed to only turn inanimate objects into insects. His one true place is helping farmers by turning rocks into swarms of aphid-eating ladybugs.,"223, Leroy and Stitch"
129,,Crutch,Designed to break bones.,Leroy & Stitch
130,,Bonez,Designed to take your bones so you become a squishy blob.,Leroy & Stitch
131,,Poik,"Designed to slap you three times. After she did it, she will laugh until she slaps another person. Also her laugh is loud and sounds like ""poikpoikpoikpoik""",Leroy & Stitch
132,,Spoony,Designed to steal spoons at lunch time.,Leroy & Stitch
133,White,PJ,"An orange and tan koala-like experiment with a white face, a wide mouth, red nose, black eyes, yellow-tipped antennae that mix with thin rabbit-like ears, and a functioning blow-horn for a tail (reminiscent of Harpo Marx's trademark horn) which he squeaks instead of speaking. He wears joke eyeglasses with a fake nose and mustache resembling those of Groucho Marx. Designed to play practical jokes on people, hence his name P(ractical) J(oker). His one true place is as an opening act for Moses's Hula gig. In the group photo taken at the end of Leroy & Stitch and the Disney.com Lilo and Stitch experiment gallery, PJ is not wearing his glasses. It is possible that the glasses were broken during battle.","209,Leroy and Stitch"
134,Green,Shredder,"A green experiment with sharp steel teeth, large ears and a blue nose. Designed to shred important documents. His one true place is with Mrs. Hasagawa as one of her ""cats.""","220, Leroy and Stitch"
135,,Remote,Designed to enter anybody's house and eat their remotes. He can serve as a universal remote to cause havoc by shutting down TVs.,Leroy & Stitch
136,,Gloomy,Designed to make you feel sad and depressed.,Leroy and Stitch
137,Yellow,Flip,Seen in pod form in Stitch! The Movie. Designed to flip things over.,Stitch! The Movie
138,,Dropsy,Designed to make you drop things.,Leroy & Stitch
139,Green,I Know You Are But What Am I,Seen in pod form in Stitch! The Movie. Designed to mimic what people say.,Stitch! The Movie
140,,Changeling,"What Jumba wanted from 140 was an evil experiment that would tear apart complicated wiring and computer systems. What he got was a small cute pink pig-like experiment with no desire to destroy anything. However at night 140 transforms into a purple, four-legged added demon that proceeded to carry out his primary function. In the morning he goes back to a little pink pig experiment.",Leroy & Stitch
141,Green,Burr,Seen in pod form in Stitch! The Movie. Designed to make it really cold.,Stitch! The Movie
142,,Blondie,Designed to dye your hair blond.,Leroy & Stitch
143,,Clog,"Mentioned in ""Skip"" when Reuben said, ""The one whose hair is always clogging the sink."" Designed to clog up drains with his hair, as Reuben implied.",206
144,,Samolean,Designed to dig for gold in the mines.,Leroy & Stitch
145,,Bragg,Designed to make you extremely conceded and braggy.,Leroy & Stitch
146,Green,Flashbomb,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to make you blind with his constant flashes.,Lilo & Stitch 2: Stitch Has a Glitch
147,,Newton,Designed to have control over gravity.,Leroy & Stitch
148,Yellow,Weasel,"A brown weasel-like experiment. Seen in pod form in ""Houdini"". Designed to climb up planetary leader's pant legs during public appearances.","119,Leroy & Stitch"
149,Green,Bonnie,"A light green koala-like experiment smaller than Stitch with a yellow stomach, a slim body, small antennae, big dark blue eyes, a big head, a wide mouth with two fangs sticking out, a round nose, rabbit-like ears, two dark green marks on the back of her head, dark green, arrow-like patches on arms and legs, and a yellow V-shaped stripe on her forehead, found with 150. Named after bank robber Bonnie Parker. Designed to steal things without the victim's knowledge, as well as her special weapons are pistol and plasma gun. 149 and 150 are captured and end up in prison as convicts, but they are paroled as part of the rescue party in ""Snafu."" Seen in pod form in Stitch! The Movie. She is voiced by Tress MacNeille.","135,226,201, Leroy and Stitch, Stitch! The Movie"
150,Yellow,Clyde,"A light brown bear-like experiment with a roundly built body, a round face with a wide mouth, a small black nose, little pointed ears, little stubby antennae, black eyes, and a lantern chin, with a sort of Swiss army knife-like gun for a right hand on a robotic arm from the elbow down, found with 149. Named after bank robber Clyde Barrow. Designed to steal things without the victim's knowledge. 149 and 150 are captured and end up in prison as convicts, but they are paroled as part of the rescue party in ""Snafu. Seen in pod form in Stitch! The Movie. He is voiced by Rocky McMurray.","135,226,201,Leroy and Stitch,Stitch! The Movie"
151,White,Babyfier,"A small pink oddly sheep-like experiment with a big head, purple insect-like wings, a yellow pacifier in her mouth and a baby rattle-shaped tail. Designed to disable planets by turning adults into babies with a pink powder shaken from her tail. The antidote is a mix of two teaspoons of applesauce, one cup of milk, three bananas, and 100% kona coffee. Her one true place is at the dog pound making older dogs young again, thus making them more appealing to potential adopters.","136,217,Leroy and Stitch"
152,,Mama Frita,Designed to give you leftover food.,Leroy & Stitch
153,,XYZ,Designed to unzip people's pants while they are being worn.,Leroy & Stitch
154,,Frapp,Designed to turn hot things cold.,Leroy & Stitch
155,,Burger,Designed to make different kinds of burgers.,Leroy & Stitch
156,,Shopahol,Designed to make any person addicted to shopping.,Leroy & Stitch
157,Red,Hotl,Seen in pod form in Lilo & Stitch 2: Stitch Has a Glitch special feature the experiment profile. Designed to give off a pleasant warmth that gradually increases.,Lilo & Stitch 2: Stitch Has a Glitch
158,Red,Finder,"A red aardvark/shrew-like experiment with little arms and legs, no tail, a long snout, black eyes, and large rabbit-like ears. Designed to find anything and honk when he finds it, even spinning his ears like helicopter blades if necessary in order to find what he has been asked to locate. His one true place is operating a ""Lost and Found"" service on the beach. He was in the rescue party for ""Snafu."" Seen in pod form in Stitch! The Movie.","Stitch! The Movie,130,Leroy and Stitch"
159,,Nacho,Designed to steal cheese.,Leroy & Stitch
160,,Rabbit,Designed to eat all the vegetables in a local area so that Jumba wouldn't have to.,Leroy & Stitch
161,,Grumbelly,Designed to make you look very angry if you eat his cherry.,Leroy & Stitch
162,,Tub,Designed to be a hot tub but hates water.,Leroy & Stitch
163,,Dumbell,Designed to to annoy you by repeatedly ringing his bell.,Leroy & Stitch
164,,Lesdyxia,This experiment's name is a hidden joke: Dyslexia read by a dyslexic person. Designed to give you dyslexia.,Leroy & Stitch
165,,Sandy,Designed to create sandstorms.,Leroy & Stitch
166,,Peppah,"Designed to put pepper on 155's burger. If you ask him what did you put there? He only says ""peppah!""",Leroy & Stitch
167,,Frizzy,Designed to freeze time.,Leroy & Stitch
