season,episode,description
1,11,"In order to catch an experiment, Lilo, Stitch, Jumba, Pleakley, Gantu, and 625 travel to the island of Niʻihau. After becoming stranded on the beach under the threat of being blasted by Splodyhead, the two opposing teams become one ""tribe"" and are forced to work together to survive. This initially doesn't go well as Gantu and Stitch both want to be the leader until 625 nominates Lilo. Under Lilo's leadership, the group manages to disable Splodyhead's powers, causing him to flee, but he's captured when Gantu and Stitch team up together against him.  Gantu gets the experiment, but when David and Nani show up to rescue Lilo, Stitch, Jumba and Pleakley, they only agree to help him and 625 back to shore if he gives them the experiment, which he reluctantly does."
1,12,"It is Lilo's birthday, but no one seems to remember. While they hand out invitations for their own party, they encounter an experiment that gives people amnesia and causes them to lose their memories of each other. Now thinking that her name is Martha, Stitch is an escaped convict, and Gantu is her partner cop named Lenny, Lilo teams up with him to hunt down Stitch and find clues to their lost memories."
1,13,"A popular television show comes to Hawaii as a hypnotizing experiment is activated. Lilo dislikes the show, but under the experiment’s spell, she is instructed to be more like Mertle, who happens to love the show. Stitch is also hypnotized and wants to be on the show. Hamsterviel orders Gantu to go on the show and use the experiment to hypnotize the audience, bringing them under Hamsterviel's power. Lilo and Stitch rescue Swirly just in time and leave Gantu stranded in front of a live audience."
1,14,"Pleakley's mother calls to inform him of his arranged marriage, so he lies that he is engaged to an Earth girl. When his family comes for the wedding, though, Pleakley must pretend that Nani is his fiancée. Eventually, the truth is exposed and Pleakley's family accepts him for who he is while revealing that while all are successful, they are actually envious of him. This episode is notable in that Kevin McDonald (voice of Pleakley) is joined by his former Kids in the Hall castmates: Dave Foley, Bruce McCulloch, Mark McKinney and Scott Thompson."
1,15,"Lilo wins tickets to the Elizabethan Fair and invites the hula girls to join her. Mertle refuses to go because she does not want to be with Lilo, and Stitch is not allowed inside because no dogs are admitted.  They team up to catch a metal-eating experiment.  Eventually, Gantu is allowed to capture the experiment to save Mertle and Stitch. The hula girls take Mertle back, and Lilo apologizes to Stitch for neglecting him."
1,16,"Lilo makes a bet with Mertle to win the orchid competition at the Kokaua Town fair and steals a dangerous plant experiment against Jumba's warnings, while Pleakley grows a giant ""Pinormous"" pineapple and Stitch practices being a cowboy for the rodeo. However, when the experiment gets loose and spreads its roots all over the fairgrounds, Stitch must defeat it cowboy-style."
1,17,"Lilo ignores Stitch while working on a new hula dance. Stitch finds a cousin performing as a circus entertainer and when he attempts to capture Elastico, he is adopted as a circus performer himself. Gantu captures but cannot hold Elastico, who returns to the circus. Lilo realizes that Stitch has left and convinces him to stay in Hawaii and not travel with his new circus family."
1,18,"Lilo's idea for an alien invasion alarm to improve the hula school is rejected, so she tries to write a letter to the mayor about it. Meanwhile, a loud experiment causes Stitch to temporarily lose his hearing, so earless Pleakley is given the job of capturing the experiment himself. While Pleakley is off looking for Yaarp, Gantu captures Stitch and will not let him free without a trade."
1,19,"Stitch becomes egotistical after beating his experiment catching record, so Jumba decides to put him in his place by activating his brand new experiment, 627. Being more powerful than 626 with none of his weaknesses, Stitch may meet his match when 627 escapes Jumba's custody and falls into the hands of Gantu. 627 works for Gantu capturing experiments and proves unbeatable until 625, jealous of the attention 627 gets, calls Lilo and reveals that 627's weakness is laughter.  Lilo and Stitch use this to defeat 627, and as it is impossible to turn him good, they use a dehydrator to turn him back into a pod, but Jumba is shown to have an Experiment 628 whose pod he stores on his ship."
1,20,"Lilo and Stitch visit a planetarium and overhear Cobra Bubbles's warning of an asteroid set to impact Earth. With no one believing them or bothering to seek shelter, Stitch formulates a plan to go into outer space and destroy it to save the planet.  However, when they discover that the asteroid itself is home to an alien, Lilo and Stitch must decide which home they must sacrifice for the sake of the other. In the end, the group uses Jumba's ship's hyperdrive to safely push the asteroid away from Earth without destroying it, but leaving Jumba and Pleakley permanently stranded on Earth. No new experiments appear in this episode."
1,21,"It is Christmas Eve, and Lilo is trying to teach Stitch how Hawaiians celebrate Christmas. However, when Gantu has an experiment pod giftwrapped for Dr. Hämsterviel, everyone mistakes Stitch's hunt for the box as a selfish attempt to hoard presents for himself."
1,22,"While trying to catch a fire-breathing experiment, Lilo falls into a puddle of mud in front of Keoni. To erase her embarrassment, she tries to use Jumba's time-traveling invention. Each time she tries to change the past, it creates a progressively worse future. Finally, Lilo realizes that she must live events as they were meant to occur and repeats her embarrassing fall. However, Keoni later shows up to cheer her up."
1,23,"Stitch and Pleakley are hired to do a magic show at Mertle's ""half-birthday"" party. After their act turns out to be horrible, Lilo secretly activates an experiment that turns things invisible to help make the show a success. It is, and Mertle's Hollywood producer aunt Stacy hires them to do their trick on national television. However, when Houdini runs away and leaves Stitch invisible, Lilo will have to find them both before her ʻohana looks like frauds. Meanwhile, 625 finds 119's experiment pod at the grocery store, thinking it is 611's pod, but Gantu takes all credit for it while searching for Experiment 604 through his heat goggles. In the end, Houdini arrives just in time to make the magic trick work, revealing himself to be the true magician and getting a magic show with Mertle's aunt Stacy."
1,24,"A small, purple shark-like experiment is destroying and sinking enemy ships with its large dorsal fin. His one true place is at a Japanese restaurant where he uses his large fin to cut up vegetables and fillet fish for the chefs to make sushi."
1,25,"Nani invites her prospective boss home to demonstrate the spirit of Ohana. Lilo has a crush on the boss's son Keoni. Before the visit, they find a new experiment who is designed to snoop around and dig up dirt on the enemy. The experiment is so annoying that Lilo and Stitch give Nosy to Gantu. Nosy then annoys Gantu and Hamsterville so much that they release him. He returns to Lilo’s house just in time to finish the visit with Nani’s boss. In the end Nosy returns to Gantu's ship and spreads rumors about Gantu to 625. Nosy is voiced by Bobcat Goldthwait."
1,26,"Stitch becomes jealous of a new experiment when Lilo takes him to show-and-tell instead of Stitch. Meanwhile, Dr. Hämsterviel escapes from prison and travels to Earth, where he is ""adopted"" by Mertle. While the Grand Councilwoman offers to reinstate Gantu's position for the capture of Dr. Hämsterviel, Stitch strives to upstage Finder by finding him first. Mertle is captured by Gantu by accident and Stitch and Finder team up to rescue her, with Finder flying Stitch to Gantu's ship. Stitch disables Gantu's ship again and Mertle is rescued, while the Grand Councilwoman takes Hämsterviel into custody but doesn't reinstate Gantu due to his kidnapping Mertle. Finder is put to work running a Lost and Found at the beach."
1,27,523 chills the weather in Lilo's town during a very hot day. He makes it so cold that it starts to snow. Slushy also battles with Splodyhead (619). Splodyhead wins and restores the warm climate of the island. Slushy finds his one true place at the ice cream shop creating shave ice.
1,28,"Lilo hosts a slumber party, but none of her classmates from hula school come. When she finds an experiment that creates duplicates, she tries to duplicate herself so that she can have friends. Stitch saves her, but is duplicated. Stitch is weakened by the duplication when his strength is divided among all the duplicates. Gantu is able to use several experiments to capture Stitch. Lilo tricks Gantu into using Dupe to turn his few experiments into an army and then combines the Stitches back into one full-strength Stitch."
1,29,"Lilo takes Stitch to a carnival, but Stitch is too short for the rides. A small crablike experiment that fouls up machinery is activated. Pleakley uses Jumba's invention to make Stitch grow, but Gantu interrupts and Stitch grows too big. Then, Shortstuff is also zapped, and the two giants battle each other back at the Carnival. Shortstuff is defeated after Stitch returns to normal size and becomes a new ride at the Carnival at his giant size."
1,30,"The search for the next experiment stops when Stitch falls in love with a female experiment, but Lilo is suspicious of her. When she looks up Angel in Jumba's computer, she discovers that the experiment turns good experiments back to evil by singing her siren song."
1,31,"Gantu found an experiment, but lets it go. Lilo later finds it and takes it home, naming it Felix (due to her statement that all ""neat freaks"" on television are named ""Felix""). Felix is an experiment mad with cleanness and cleans everything. For that, Felix becomes very good friends with Pleakley, but Felix is so mad with cleaning that he thinks everything around him are dirty and ends up wanting to destroy Lilo, Stitch and the others. Lilo and Stitch must save everyone from Felix's mania and clean the home before Nani returns."
1,32,"A small microbe-like experiment enters Pleakley's body, causing a peculiar illness that gives him purple pimples, a swollen eye, extremely smelly feet, and uncontrollable burping. Lilo and Stitch must capture the experiment and remove it from within Pleakley by shrinking to microscopic size. However, they must act quickly, as their shrinking effect is only temporary, and Pleakley is at risk of exploding if they do not make it out of him in time."
1,33,"It is Valentine's Day, and Lilo uses an experiment that makes people fall in love to make Keoni fall in love with her. Stitch must catch the experiment before Gantu does."
1,34,"Stitch is afraid of going to the vet and ends up meeting an experiment that can repeat any sound. Two alien hunters try to capture Stitch, Sample, and Gantu."
1,35,"An experiment that turns people into babies activates and turns Stitch, Nani, Jumba, Pleakley and Gantu into babies. Baby Stitch and Baby Gantu battle for the experiment, while Lilo and Baby Jumba (who still possesses the intellect of adult Jumba) have to mix an antidote for the age regression requiring adult coffee in the mix. In the end, Stitch gets it and everything goes back to normal."
1,36,"After being grounded for being rowdy, Lilo and Stitch sneak out of their room and meet a criminal experiment duo, who urges them to do whatever they want. After causing trouble around the island and realizing the consequences of their naughty behavior, though, Lilo and Stitch decide to capture the crooks to redeem themselves. They pretend that they are working with the two again, but once they are taken to their hideout, capture the two experiments who are then taken to their one true place: prison. Lilo and Stitch have to clean up the mess they made as repayment for their crimes. The experiments names are parodies of the bank robbing duo, Bonnie and Clyde."
1,37,"Lilo's baseball team loses to Mertle's team, due to Pleakley's lack of competence. Later Lilo and Mertle make a bet for another game and that whoever wins the game will get the other player's personal items. Then a small, yellow, pterosaur-like experiment activates that is designed to deflect projectiles with his tail shaped like a baseball bat. Lilo decides to place him on their team in Pleakley's place, in hopes of beating Mertle's team. But to make matters worse Mertle has placed Gantu on her team, who has promised to help her win the game with a bargain to achieve the experiment at the end. Mertle ends up changing things so they play basketball instead of baseball, but Pleakley saves the day as he turns out to be a champion player of a similar game on his homeworld."
1,38,"Nani has been receiving a lot of bills for Stitch's destruction, so she gets Lilo to try and train him to be more civilized (otherwise he would be thrown out of the ʻohana). When Lilo's attempts prove to be unsuccessful Stitch decides to leave and ends up being kidnapped by Dr. Hämsterviel, who plans to turn him evil again. Lilo, Jumba and Pleakley must now rescue him before it's too late. No new experiments appear in this episode."
1,39,"Stitch uses an experiment to get restless Lilo to sleep, but cannot wake her up the next day. While he is forced to use her sleeping body as a puppet to complete her responsibilities, Gantu is instructed to capture the experiment and kidnap the vacationing Regis Philbin."
2,1,"Lilo wants to beat Mertle at the ""‘Ohana Rama"" family trivia contest, but loses confidence when Stitch is poked by a porcupine-like experiment whose quills makes people 99% goofy and 1% clever. Meanwhile, Pleakley starts a therapy group named ""E.A.R.W.A.X"" to rehabilitate experiments."
2,2,"After Nani bans junk food, Lilo and Stitch encounter an experiment that cooks delicious cuisine. Little do they know, they will be unable to stop eating because his food never fills people up, no matter how much they eat. Frenchfry is actually trying to fatten them up so that he can eat them himself."
2,3,"Lilo meets a new friend named Victoria who also joins Lilo's hula class. However, Mertle will stop at nothing to try and befriend her so that she will not be Lilo's friend. Lilo then attempts to prove that she's not weird by throwing a ""Lilo's not weird"" party. However, an experiment appears that switches people's minds, which results in Lilo and Stitch, Jumba and Pleakley switching bodies. From Stitch's body Lilo must make sure the party is successful, while Stitch has to pretend to be her. Eventually the experiment is defeated and Victoria reveals that she likes weird."
2,4,"When Nani ends up short on cash, the rest of the ‘ohana decide to start a ""Bed and Not Breakfast"" to bring in extra money. An experiment designed to bring bad luck threatens to ruin the business, until Jumba remembers that its effect can be reversed to turn very bad luck into very good luck."
2,5,Lilo and Stitch compete with Mertle to sell the most candy bars for their hula halau. The competition turns fierce when a slick-talking experiment appears that has the ability to sell anything.
2,6,"Tired of childhood restrictions, Lilo uses an experiment that skips time ahead ten years in the future to turn herself into a teenager and then into an adult. However, while she and Stitch disappear for twenty years, Dr. Hämsterviel captures the experiments and takes over the world."
2,7,"Lilo's hula halau is building a Merrie Monarch parade float, and Lilo is upset that the others do not like her ideas. However, when a crown-shaped experiment sits on her head, its power causes everyone to treat her like a queen. After she sees the consequences of her rule and decides to step down, Gantu takes the experiment and makes himself king."
2,8,"When Lilo is blamed for pranking her strict substitute hula teacher, she decides to use a practical-jokester experiment to get revenge and impress Mertle. Stitch must stop them before the jokes go too far."
2,9,"Lilo tries to clean Pudge's grotto for Earth Day, but meets an experiment that eats trash and later redistributes it across the island as pollutant goo. When Stitch gets sick from eating trash, Lilo must find a way to stop Ploot by herself. Eventually Stitch is cured and thanks to Pleakley a way to defeat Ploot is found through a combination of air fresheners. With help from Stitch, Lilo defeats Ploot herself and he becomes good and sets to work at cleaning up trash and pollution rather than making it."
2,10,"Victoria becomes afraid of an experiment after it attacks her and thinks that it is a vampire. Lilo tries to explain that she can capture it and turn it good, but after it puts Stitch out of commission, Victoria decides to team up with Gantu (who, unknown to her, is intending to use her as bait) to ""slay"" the experiment. Later after Lilo shows up and saves her from Gantu she realizes her mistake and saves Snooty from Gantu. Furthermore, when Snooty shows a notable ability to clear out Victoria's often-clogged sinuses, she decides to keep him as a pet."
2,11,"Nani's middle school friends return to Kaua‘i and, thinking that Nani is vice president of the business she works for, invites her and her ʻohana on a yacht cruise. Meanwhile, Stitch encounters an experiment that reverts objects, animals, and even people to a primitive state."
2,12,"While out trying to prove the existence of the Nightmarchers (an ancient Hawaiian legend), Lilo, Mertle, Stitch, Jumba, and Pleakley tell each other scary stories. Meanwhile, Experiment 248, later known as Belle, is being chased by Gantu. Hämsterviel and Reuben do not appear."
2,13,"Keoni is going away for the weekend, so Lilo uses a shape-shifting experiment to transform into him, and win the island's skateboarding competition's grand prize. At the same time, Jake, Gramps and Fu Dog (from American Dragon: Jake Long) visit the island to check out reports that magical creatures (actually Jumba's experiments) are running rampant. Nani and Pleakley do not appear in this episode."
2,14,"The Proud Family comes to visit Hawaii and stay in the ""bed and not breakfast"" for their visit. Experiment 397 is the on the loose, causing people to fight with each other."
2,15,"Nani is having trouble organizing a charity dinner, so Pleakley offers to help entertain by providing stand-up comedy. However, when an experiment designed to mock people appears and leads Lilo down the wrong path, she and Stitch have to stop him before his heckling ruins the event."
2,16,"It is nearly graduation for hula school, and everyone needs to have a picture with their parents, but Lilo does not have parents. Along comes Experiment 267, who is designed to make wishes, so Lilo decides to try to get Nani and David married."
2,17,"Lilo quits experiment hunting to go to Hula Hip Hop Fusion school. Meanwhile, Experiment 540 is unleashed, causing Gantu to take a bad blow to the head. Jumba's new device causes Phoon to mutate into a giant monster. Meanwhile, Gantu thinks that 625 and Hämsterviel are just figments of his imagination."
2,18,"Lilo builds a town called Bugapolis for her new friends in her bug collection, but Stitch keeps trying to eat the citizens. He loses his appetite, though, after Experiment 128 (Bugby) turns Lilo, Stitch, Jumba, and Pleakley into bugs. With the help of bugs named Chaps, Manny, and Sperk, they have to find a way to change themselves back soon because Nani has called an exterminator."
2,19,"Experiment 234, designed to collect private enemy conversations through its tail, is accidentally activated by Lilo. When Lilo gets into trouble after Shush overhears part of a conversion and thinking that Mertle hates her friends, Mertle, out of anger, willingly helps catch experiments for Hämsterviel."
2,20,"When Stitch is kidnapped by Dr. Drakken, Pleakley calls on the help of Kim Possible to rescue him. Although they initially both want the other to step aside, Lilo and Kim must work together to accomplish this goal. Also, Jumba mistakes Rufus for the dangerous Experiment 607. Gantu and 625 (Reuben) do not appear; they are replaced by Dr. Drakken and Shego in this episode."
2,21,"The cast of Recess visits Kauaʻi so Gretchen can use a telescope to examine what she believes is a new planet. Meanwhile, an experiment designed to make people stop working zaps Stitch, Jumba, and Pleakley with its lazy beam. Lilo and her new friends try to catch the experiment while Stitch takes a vacation."
2,22,"It is the anniversary of Lilo's parents' death, and Lilo takes a nap to deal with her sadness about losing her parents. However, when an experiment enters her dreams and tries to dissolve them into nightmares, Stitch, Jumba, and Pleakley go in after it to capture it before she wakes up. Meanwhile, Nani tries to find a way to make Lilo feel happy again. Gantu and 625 (Reuben) appear only in Lilo's dream."
2,23,"Part 1: Lilo and Stitch try to help Mrs. Hasagawa out by organizing her fruit stand and cleaning her yard. However, when she tries to offer them a bowl of apricots for their help, they discover that the bowl is actually full of experiment pods and that her house is full of stray experiments which she believes are ""cats"". Lilo and Stitch try to gather all the experiments. Part 2: The leader of the Evil Genius Organization (EGO) believes that Jumba has turned good and wants to revoke his membership, but Lilo convinces him to visit Earth so that they can prove that Jumba is still worthy of membership. As they construct an elaborate facade to trick him, however, a failed non-evil experiment is activated. Gantu does not bother to catch this experiment."
2,24,"Part 1: Lilo is tired of doing chores and asks Jumba to build a machine to help her, so he ends up upgrading the entire house to do the chores itself. However, when an experiment designed to turn technology against its user enters the computer control system, Stitch must fight the house to rescue everyone. Part 2: A clumsy experiment causes Dr. Hämsterviel to nearly be caught by his prison guards, so he returns all the captured experiments to Gantu for safekeeping. However, when he lets the trouble-making experiment go, it threatens to ruin Pleakley's chance at a domino championship."
2,25,"When Lilo and Stitch learn from Nosy that all the experiments captured by Gantu are imprisoned in his ship (as a result of the events of ""Woops""), the two plan a rescue mission to free them. However, they accidentally activate an experiment designed to destroy complex plans. As Lilo and Stitch form a rescue team regardless, Jumba and Pleakley try to understand the meaning of love, and Gantu tries to use Angel's song to turn the experiments evil again."
2,26,"When Lilo and Mertle are forced to work together to find buried treasure, an experiment appears that binds together uncooperative people with indestructible, rubberlike slime. Mertle helps Lilo catch the experiment, while Stitch becomes stuck to Nani and Jumba becomes stuck to Pleakley."
