season,episode,description
1,11,"In order to catch an experiment, Lilo, Stitch, Jumba, Pleakley, Gantu, and 625 travel to the island of Niʻihau. After becoming stranded on the beach under the threat of being blasted by Splodyhead, the two opposing teams become one ""tribe"" and are forced to work together to survive. This initially doesn't go well as Gantu and Stitch both want to be the leader until 625 nominates Lilo. Under Lilo's leadership, the group manages to disable Splodyhead's powers, causing him to flee, but he's captured when Gantu and Stitch team up together against him.  Gantu gets the experiment, but when David and Nani show up to rescue Lilo, Stitch, Jumba and Pleakley, they only agree to help him and 625 back to shore if he gives them the experiment, which he reluctantly does."
1,12,"It is Lilo's birthday, but no one seems to remember. While they hand out invitations for their own party, they encounter an experiment that gives people amnesia and causes them to lose their memories of each other. Now thinking that her name is Martha, Stitch is an escaped convict, and Gantu is her partner cop named Lenny, Lilo teams up with him to hunt down Stitch and find clues to their lost memories."
1,13,"A popular television show comes to Hawaii as a hypnotizing experiment is activated. Lilo dislikes the show, but under the experiment’s spell, she is instructed to be more like Mertle, who happens to love the show. Stitch is also hypnotized and wants to be on the show. Hamsterviel orders Gantu to go on the show and use the experiment to hypnotize the audience, bringing them under Hamsterviel's power. Lilo and Stitch rescue Swirly just in time and leave Gantu stranded in front of a live audience."
1,14,"Pleakley's mother calls to inform him of his arranged marriage, so he lies that he is engaged to an Earth girl. When his family comes for the wedding, though, Pleakley must pretend that Nani is his fiancée. Eventually, the truth is exposed and Pleakley's family accepts him for who he is while revealing that while all are successful, they are actually envious of him. This episode is notable in that Kevin McDonald (voice of Pleakley) is joined by his former Kids in the Hall castmates: Dave Foley, Bruce McCulloch, Mark McKinney and Scott Thompson."
1,15,"Lilo wins tickets to the Elizabethan Fair and invites the hula girls to join her. Mertle refuses to go because she does not want to be with Lilo, and Stitch is not allowed inside because no dogs are admitted.  They team up to catch a metal-eating experiment.  Eventually, Gantu is allowed to capture the experiment to save Mertle and Stitch. The hula girls take Mertle back, and Lilo apologizes to Stitch for neglecting him."
1,16,"Lilo makes a bet with Mertle to win the orchid competition at the Kokaua Town fair and steals a dangerous plant experiment against Jumba's warnings, while Pleakley grows a giant ""Pinormous"" pineapple and Stitch practices being a cowboy for the rodeo. However, when the experiment gets loose and spreads its roots all over the fairgrounds, Stitch must defeat it cowboy-style."
1,17,"Lilo ignores Stitch while working on a new hula dance. Stitch finds a cousin performing as a circus entertainer and when he attempts to capture Elastico, he is adopted as a circus performer himself. Gantu captures but cannot hold Elastico, who returns to the circus. Lilo realizes that Stitch has left and convinces him to stay in Hawaii and not travel with his new circus family."
1,18,"Lilo's idea for an alien invasion alarm to improve the hula school is rejected, so she tries to write a letter to the mayor about it. Meanwhile, a loud experiment causes Stitch to temporarily lose his hearing, so earless Pleakley is given the job of capturing the experiment himself. While Pleakley is off looking for Yaarp, Gantu captures Stitch and will not let him free without a trade."
1,19,"Stitch becomes egotistical after beating his experiment catching record, so Jumba decides to put him in his place by activating his brand new experiment, 627. Being more powerful than 626 with none of his weaknesses, Stitch may meet his match when 627 escapes Jumba's custody and falls into the hands of Gantu. 627 works for Gantu capturing experiments and proves unbeatable until 625, jealous of the attention 627 gets, calls Lilo and reveals that 627's weakness is laughter.  Lilo and Stitch use this to defeat 627, and as it is impossible to turn him good, they use a dehydrator to turn him back into a pod, but Jumba is shown to have an Experiment 628 whose pod he stores on his ship."
1,20,"Lilo and Stitch visit a planetarium and overhear Cobra Bubbles's warning of an asteroid set to impact Earth. With no one believing them or bothering to seek shelter, Stitch formulates a plan to go into outer space and destroy it to save the planet.  However, when they discover that the asteroid itself is home to an alien, Lilo and Stitch must decide which home they must sacrifice for the sake of the other. In the end, the group uses Jumba's ship's hyperdrive to safely push the asteroid away from Earth without destroying it, but leaving Jumba and Pleakley permanently stranded on Earth. No new experiments appear in this episode."
1,21,"It is Christmas Eve, and Lilo is trying to teach Stitch how Hawaiians celebrate Christmas. However, when Gantu has an experiment pod giftwrapped for Dr. Hämsterviel, everyone mistakes Stitch's hunt for the box as a selfish attempt to hoard presents for himself."
1,22,"While trying to catch a fire-breathing experiment, Lilo falls into a puddle of mud in front of Keoni. To erase her embarrassment, she tries to use Jumba's time-traveling invention. Each time she tries to change the past, it creates a progressively worse future. Finally, Lilo realizes that she must live events as they were meant to occur and repeats her embarrassing fall. However, Keoni later shows up to cheer her up."
1,23,"Stitch and Pleakley are hired to do a magic show at Mertle's ""half-birthday"" party. After their act turns out to be horrible, Lilo secretly activates an experiment that turns things invisible to help make the show a success. It is, and Mertle's Hollywood producer aunt Stacy hires them to do their trick on national television. However, when Houdini runs away and leaves Stitch invisible, Lilo will have to find them both before her ʻohana looks like frauds. Meanwhile, 625 finds 119's experiment pod at the grocery store, thinking it is 611's pod, but Gantu takes all credit for it while searching for Experiment 604 through his heat goggles. In the end, Houdini arrives just in time to make the magic trick work, revealing himself to be the true magician and getting a magic show with Mertle's aunt Stacy."
1,24,"A small, purple shark-like experiment is destroying and sinking enemy ships with its large dorsal fin. His one true place is at a Japanese restaurant where he uses his large fin to cut up vegetables and fillet fish for the chefs to make sushi."
1,25,"Nani invites her prospective boss home to demonstrate the spirit of Ohana. Lilo has a crush on the boss's son Keoni. Before the visit, they find a new experiment who is designed to snoop around and dig up dirt on the enemy. The experiment is so annoying that Lilo and Stitch give Nosy to Gantu. Nosy then annoys Gantu and Hamsterville so much that they release him. He returns to Lilo’s house just in time to finish the visit with Nani’s boss. In the end Nosy returns to Gantu's ship and spreads rumors about Gantu to 625. Nosy is voiced by Bobcat Goldthwait."
1,26,"Stitch becomes jealous of a new experiment when Lilo takes him to show-and-tell instead of Stitch. Meanwhile, Dr. Hämsterviel escapes from prison and travels to Earth, where he is ""adopted"" by Mertle. While the Grand Councilwoman offers to reinstate Gantu's position for the capture of Dr. Hämsterviel, Stitch strives to upstage Finder by finding him first. Mertle is captured by Gantu by accident and Stitch and Finder team up to rescue her, with Finder flying Stitch to Gantu's ship. Stitch disables Gantu's ship again and Mertle is rescued, while the Grand Councilwoman takes Hämsterviel into custody but doesn't reinstate Gantu due to his kidnapping Mertle. Finder is put to work running a Lost and Found at the beach."
1,27,523 chills the weather in Lilo's town during a very hot day. He makes it so cold that it starts to snow. Slushy also battles with Splodyhead (619). Splodyhead wins and restores the warm climate of the island. Slushy finds his one true place at the ice cream shop creating shave ice.
1,28,"Lilo hosts a slumber party, but none of her classmates from hula school come. When she finds an experiment that creates duplicates, she tries to duplicate herself so that she can have friends. Stitch saves her, but is duplicated. Stitch is weakened by the duplication when his strength is divided among all the duplicates. Gantu is able to use several experiments to capture Stitch. Lilo tricks Gantu into using Dupe to turn his few experiments into an army and then combines the Stitches back into one full-strength Stitch."
1,29,"Lilo takes Stitch to a carnival, but Stitch is too short for the rides. A small crablike experiment that fouls up machinery is activated. Pleakley uses Jumba's invention to make Stitch grow, but Gantu interrupts and Stitch grows too big. Then, Shortstuff is also zapped, and the two giants battle each other back at the Carnival. Shortstuff is defeated after Stitch returns to normal size and becomes a new ride at the Carnival at his giant size."
1,30,"The search for the next experiment stops when Stitch falls in love with a female experiment, but Lilo is suspicious of her. When she looks up Angel in Jumba's computer, she discovers that the experiment turns good experiments back to evil by singing her siren song."
1,31,"Gantu found an experiment, but lets it go. Lilo later finds it and takes it home, naming it Felix (due to her statement that all ""neat freaks"" on television are named ""Felix""). Felix is an experiment mad with cleanness and cleans everything. For that, Felix becomes very good friends with Pleakley, but Felix is so mad with cleaning that he thinks everything around him are dirty and ends up wanting to destroy Lilo, Stitch and the others. Lilo and Stitch must save everyone from Felix's mania and clean the home before Nani returns."
1,32,"A small microbe-like experiment enters Pleakley's body, causing a peculiar illness that gives him purple pimples, a swollen eye, extremely smelly feet, and uncontrollable burping. Lilo and Stitch must capture the experiment and remove it from within Pleakley by shrinking to microscopic size. However, they must act quickly, as their shrinking effect is only temporary, and Pleakley is at risk of exploding if they do not make it out of him in time."
1,33,"It is Valentine's Day, and Lilo uses an experiment that makes people fall in love to make Keoni fall in love with her. Stitch must catch the experiment before Gantu does."
1,34,"Stitch is afraid of going to the vet and ends up meeting an experiment that can repeat any sound. Two alien hunters try to capture Stitch, Sample, and Gantu."
1,35,"An experiment that turns people into babies activates and turns Stitch, Nani, Jumba, Pleakley and Gantu into babies. Baby Stitch and Baby Gantu battle for the experiment, while Lilo and Baby Jumba (who still possesses the intellect of adult Jumba) have to mix an antidote for the age regression requiring adult coffee in the mix. In the end, Stitch gets it and everything goes back to normal."
1,36,"After being grounded for being rowdy, Lilo and Stitch sneak out of their room and meet a criminal experiment duo, who urges them to do whatever they want. After causing trouble around the island and realizing the consequences of their naughty behavior, though, Lilo and Stitch decide to capture the crooks to redeem themselves. They pretend that they are working with the two again, but once they are taken to their hideout, capture the two experiments who are then taken to their one true place: prison. Lilo and Stitch have to clean up the mess they made as repayment for their crimes. The experiments names are parodies of the bank robbing duo, Bonnie and Clyde."
1,37,"Lilo's baseball team loses to Mertle's team, due to Pleakley's lack of competence. Later Lilo and Mertle make a bet for another game and that whoever wins the game will get the other player's personal items. Then a small, yellow, pterosaur-like experiment activates that is designed to deflect projectiles with his tail shaped like a baseball bat. Lilo decides to place him on their team in Pleakley's place, in hopes of beating Mertle's team. But to make matters worse Mertle has placed Gantu on her team, who has promised to help her win the game with a bargain to achieve the experiment at the end. Mertle ends up changing things so they play basketball instead of baseball, but Pleakley saves the day as he turns out to be a champion player of a similar game on his homeworld."
1,38,"Nani has been receiving a lot of bills for Stitch's destruction, so she gets Lilo to try and train him to be more civilized (otherwise he would be thrown out of the ʻohana). When Lilo's attempts prove to be unsuccessful Stitch decides to leave and ends up being kidnapped by Dr. Hämsterviel, who plans to turn him evil again. Lilo, Jumba and Pleakley must now rescue him before it's too late. No new experiments appear in this episode."
1,39,"Stitch uses an experiment to get restless Lilo to sleep, but cannot wake her up the next day. While he is forced to use her sleeping body as a puppet to complete her responsibilities, Gantu is instructed to capture the experiment and kidnap the vacationing Regis Philbin."
